ISBN,Titulo,Autor,Editorial,FechaPublicacion,Edicion,Idioma,Paginas,Descripcion,Categorias,Ejemplares
978-0-752-32169-1,1,"Núñez, Ignacio",Jackson,1926,Primera,Español,0,,,1
978-4-927-43912-9,666,"Wast, Hugo",Hugo Wast,1926,Primera,Español,0,,,1
978-4-343-48896-1,1984,"Orwell, George",Lucemar,1926,Primera,Español,0,,,1
978-6-537-10767-2,... Y vienen gritando ¡Patria!,"Becco, Horacio Jorge. Iturralde, María Delia",Plus Ultra,1926,Primera,Español,0,,,1
978-5-919-34132-1,¡Avanti!. Poemas para fortalecer nuestro espíritu,Almafuerte,Ameghino,1926,Primera,Español,0,,,1
978-6-338-64944-9,¿Qué me está pasando? : las respuestas a algunas de las preguntas más embarazosas del mundo,"Mayle, Peter",Montena,1926,Primera,Español,0,,,1
978-1-100-23916-3,Amor más allá de la muerte : antología de la poesía amorosa de Francisco Quevedo,"Quevedo, Francisco de ",Ameghino,1926,Primera,Español,0,,,1
978-7-680-88546-2,Azul...,Rubén Darío,Zig Zag,1926,Primera,Español,0,,,1
978-7-509-95786-8,El fantasma de Canterville y El crimen de Lord Arturo Saville,"Wilde, Oscar",Anteojito,1926,Primera,Español,0,,,1
978-7-334-53228-5,El médico a palos y Las preciosas ridículas,Moliére,Anteojito,1926,Primera,Español,0,,,1
978-7-659-66462-3,La cola de la sirena y Una viuda difícil,"Nalé Roxlo, Conrado",Anteojito,1926,Primera,Español,0,,,1
978-5-213-50156-8,La lluvia y otros relatos,"Wilde, Eduardo",CEAL,1926,Primera,Español,0,,,1
978-4-945-75332-0,Las florecillas de San Francisco El cántico del sol,Anónimo,Anteojito,1926,Primera,Español,0,,,1
978-8-592-94214-4,Rinoceronte y cortadillo y El licenciado vidriera,"Cervantes Saavedra, Miguel de",Anteojito,1926,Primera,Español,0,,,1
978-7-855-26891-5,??,-,Ministerio de educación,1926,Primera,Español,0,,,1
978-1-302-26604-2,"¡Adelante, la isla!","Gallardo, Sara",Abril,1926,Primera,Español,0,,,1
978-8-336-34394-7,¡Arriba el telón!,"Ferro, Beatriz",Norma,2002,Primera,Español,0,,,1
978-1-812-64869-7,¡Cruz diablo! : Satanás vuelve al ataque,"Coluccio, Félix (comp.)",Colihue,2013,Primera,Español,0,,,1
978-8-834-53557-8,¡Cuidado con el perro!,"Cinetto, Liliana",Santillana,2001,Primera,Español,0,,,1
978-6-742-40189-3,¡Entre todos podemos! Salvar nuestro planeta :  un libro con pestañas,"Brownjohn, Emma",Combel,1926,Primera,Español,0,,,1
978-2-714-63898-4,¡Escondidos!,"Kauffman, Ruth",Cántaro,1926,Primera,Español,0,,,1
978-0-009-41012-3,¡Gérmenes! ¡gérmenes! ¡gérmenes!,"Katz, Bobbi",Scholastic,1926,Primera,Español,0,,,1
978-0-357-92341-2,¡Jettatore! : comedia en tres actos,"Laferrere, Gregorio de",Estrada,1926,Primera,Español,0,,,1
978-9-027-87555-6,¡Jettatore!...,"Laferrere, Gregorio de",Kapelusz,1926,Primera,Español,0,,,1
978-7-143-00395-2,¡Jorge habla!,"King Smith, Dick",SM,1926,Primera,Español,0,,,1
978-6-029-15139-8,¡Judy Moody se vuelve famosa!,"Mc Donald, Megan",Alfaguara,2012,Primera,Español,0,,Lit. Infantil (Naranja),1
978-8-093-69711-6,"¡Ladra, Spike, Ladra!","David, Luke",Grupo zeta,1926,Primera,Español,0,,,1
978-2-044-05156-9,"¡Mami, quiero pis...!",-,[Ser padres hoy],1926,Primera,Español,0,,,1
978-5-744-09644-1,¡Mimosaurio!,"Pez, Alberto",Norma,2007,Primera,Español,0,,Lit. Infantil (Rojo),1
978-8-371-04271-3,¡Niet! : (novela),"Meney, Patrick",Atlántida,1926,Primera,Español,0,,,1
978-9-288-72777-9,¡No soy una mariposa!,"Sevilla, Fabián",Salim,1926,Primera,Español,0,,,1
978-3-187-16140-5,¡Pequeñitos!,"Frattini, Stéphane",Océano,1926,Primera,Español,0,,,1
978-6-291-85377-8,¡Por todos los Dioses...!,"García Domínguez, Ramón",Norma,2004,Primera,Español,0,,,1
978-7-483-63213-3,¡Puedo hacerlo solo!,-,[Atlántida],1926,Primera,Español,0,,,1
978-5-769-95687-4,¡Que sea la Odisea!,"Basch, Adela",Alfaguara,2003,Primera,Español,0,,,1
978-1-302-29669-8,¡Queremos sobrevivir! : animales en peligro,"Gentile, Georgina & Thiel, Inge",Lumen,1926,Primera,Español,0,,,1
978-2-163-73861-7,¡Silencio niños! y otros cuentos,"Wolf, Ema",Norma,1926,Primera,Español,0,,,1
978-2-702-13019-3,¡Socorro! 12 cuentos para caerse de miedo,"Bornemann, Elsa",Alfaguara,1926,Primera,Español,0,,,1
978-6-636-09891-8,¡Solo a mí me pasa!,"Keselman, Gabriela",Edelvives,2008,Primera,Español,0,,,1
978-2-200-09911-4,¡Toro marino al acecho!,-,[Anteojito],1926,Primera,Español,0,,,1
978-6-775-13940-4,¿A dónde está la corona?,"Schujer, Silvia",La Valijita,1926,Primera,Español,0,,,1
978-3-334-97203-8,¿Arde París?,"Lapierre, Dominique & Collins, Larry",Plaza & Janés,1926,Primera,Español,0,,,1
978-4-039-58522-6,¿Cómo es el cocodrilo?,"Novoa, Teresa",Alfaguara Infantil,1926,Primera,Español,0,,,1
978-8-848-51647-1,¿Cuántos pelos tiene un gato? : coplas tradicionales,"Saltzmann, Julia (comp.)",Coquena,1926,Primera,Español,0,,,1
978-4-079-33497-6,¿Dónde está Petronilo?,"Shua, Ana María",Sigmar,1926,Primera,Español,0,,,1
978-3-855-61835-4,¿Nos preocupa el cambio climático? : debemos conocer el problema para encontrar soluciones,"Gentile, Georgina & Thiel, Inge",Fundación Roulet,1926,Primera,Español,0,,,1
978-5-124-50648-5,¿Por qué el mar es salado?,Antología,Orión,1926,Primera,Español,0,,,1
978-6-066-28283-3,¿Por qué es oscura la noche?,"Tahta, Sophy",Lumen,1926,Primera,Español,0,,,1
978-3-611-28468-7,¿QS cómo hacemos para Oír y Ver?,"García, Mariano & Gotlibowski, Leicia",Eudeba,1926,Primera,Español,0,,,1
978-5-716-65386-3,¿QS cómo hacemos para Oler y Degustar?,"García, Mariano & Gotlibowski, Leicia",Eudeba,1926,Primera,Español,0,,,1
978-3-673-02585-3,¿QS qué es la ecología?,"Kogan, Mariela & Cruz, Paula de la",Eudeba,1926,Primera,Español,0,,,1
978-9-394-46847-4,¿QS qué es la Huella ecológica?,"Kogan, Mariela & Cruz, Paula de la",Eudeba,1926,Primera,Español,0,,,1
978-5-997-54345-7,¿Qué es el tiempo?,"Damm, Antje",imaiqué,1926,Primera,Español,0,,,1
978-7-319-77523-2,¿Qué hay debajo de la tierra?,"Mayes, Susan",Lumen,1926,Primera,Español,0,,,1
978-1-175-83540-6,¿Qué hay en el espacio?,"Mayes, Susan",Lumen,1926,Primera,Español,0,,,1
978-1-822-95325-5,¿Qué hora es?,-,Grafalco,1926,Primera,Español,0,,,1
978-2-918-23703-7,¿Qué le pasa al planeta?,"Meredith, Susan",Usborne,1926,Primera,Español,0,,,1
978-2-051-48019-2,¿Qué puedo esperar? : el libro de las preguntas,"Teckentrup, Britta",Libros del zorro rojo,1926,Primera,Español,0,,,1
978-9-831-72714-0,¿Qué son los humedales? : ambiantes acuáticos indispensables para la vida,"Wais de Badgen, Irene",[Fundación conciencia],1926,Primera,Español,0,,,1
978-5-876-00200-6,¿Querés saber como era el Arte en la Prehistoria?,"Fiore, Dánae & Glüzmann, Mariela",Eudeba,1926,Primera,Español,0,,,1
978-4-491-20665-3,¿Querés saber qué es el ADN?,"Bombara, Paula & Bernasconi, Pablo",Eudeba,1926,Primera,Español,0,,,1
978-1-177-78914-1,¿Querés saber qué es el Big Bang?,"Gangui, Alejandro & Bilotti, Viviana",Eudeba,1926,Primera,Español,0,,,1
978-7-790-51614-0,¿Querés saber qué es el universo?,"Gangui, Alejandro & Bilotti, Viviana",Eudeba,1926,Primera,Español,0,,,1
978-0-912-64501-8,¿Querés saber qué es la Arqueología?,"Fiore, Dánae & Glüzmann, Mariela",Eudeba,1926,Primera,Español,0,,,1
978-2-528-18810-1,¿Querés saber qué son las Bacterias y los Virus?,"Fernández, Natalia & Fernández Rolfi, Bana",Eudeba,1926,Primera,Español,0,,,1
978-1-482-05160-5,¿Quién es?,,Ediciones B,1926,Primera,Español,0,,,1
978-9-227-24223-3,¿Quién mató a la madrastra? : (un caso para Fábulo D. Tective),"Sevilla, Fabián",Salim,1926,Primera,Español,0,,,1
978-9-230-70470-4,¿Quién pidió un vaso de agua?,"Accame, Jorge",Sudamericana,1995,Primera,Español,0,,,1
978-8-489-65967-4,¿Quién se come a quién?,"Mizielinska, Aleksandra & Mizielinski, Daniel",Libros del zorro rojo,1926,Primera,Español,0,,,1
978-8-696-47164-9,101 cuentos de animales,Antología,El Gato de hojalata,2016,Primera,Español,0,,Lit. Infantil (rojo),1
978-7-743-37683-8,16 cuentos,,Caja de Ahorro Postal,1926,Primera,Español,0,,,1
978-4-495-48310-4,16 cuentos argentinos,"Domínguez, Mignon (comp.)",Huemul,1926,Primera,Español,0,,,1
978-9-760-18351-2,1820-1829 Los caudillos y el proyecto de Rivadavia,"Ed. Alemán, José",Clarín,2010,Primera,Español,0,,Historia Argentina,1
978-8-518-22225-1,"1830-1839 Unitarios, federales y románticos","Ed. Alemán, José",Clarín,2010,Primera,Español,0,,Historia Argentina,1
978-3-167-19971-8,1840-1849 El apogeo del régimen rosista,"Ed. Alemán, José",Clarín,2010,Primera,Español,0,,Historia Argentina,1
