Unnamed: 0,EJEMPLAR,Título,Autor,Editorial,Colección,Año,CATEGORÍA,EDAD (literatura),CDU
753,1,1,"Núñez, Ignacio",Jackson,Grandes escritores Argentinos - 16,1926,,,
1954,1,666,"Wast, Hugo",Hugo Wast,-,1926,,,
3070,1,1984,"Orwell, George",Lucemar,-,1926,,,
3970,1,... Y vienen gritando ¡Patria!,"Becco, Horacio Jorge. Iturralde, María Delia",Plus Ultra,,1926,,,
3944,1,¡Avanti!. Poemas para fortalecer nuestro espíritu,Almafuerte,Ameghino,,1926,,,
2696,1,¿Qué me está pasando? : las respuestas a algunas de las preguntas más embarazosas del mundo,"Mayle, Peter",Montena,-,1926,,,
3773,1,Amor más allá de la muerte : antología de la poesía amorosa de Francisco Quevedo,"Quevedo, Francisco de ",Ameghino,-,1926,,,
4090,2,Azul...,Rubén Darío,Zig Zag,Biblioteca Zig Zag,1926,,,
788,1,El fantasma de Canterville y El crimen de Lord Arturo Saville,"Wilde, Oscar",Anteojito,Biblioteca de oro del estudiante - 36,1926,,,
771,1,El médico a palos y Las preciosas ridículas,Moliére,Anteojito,Biblioteca de oro del estudiante - 17,1926,,,
772,1,La cola de la sirena y Una viuda difícil,"Nalé Roxlo, Conrado",Anteojito,Biblioteca de oro del estudiante - 18,1926,,,
1949,1,La lluvia y otros relatos,"Wilde, Eduardo",CEAL,Capítulo - Biblioteca argentina fundamental,1926,,,
793,1,Las florecillas de San Francisco El cántico del sol,Anónimo,Anteojito,Biblioteca de oro del estudiante - 41,1926,,,
779,1,Rinoceronte y cortadillo y El licenciado vidriera,"Cervantes Saavedra, Miguel de",Anteojito,Biblioteca de oro del estudiante - 27,1926,,,
1864,1,??,-,Ministerio de educación,-,1926,,,
2238,1,"¡Adelante, la isla!","Gallardo, Sara",Abril,Cuentorregalo,1926,,,
279,2,¡Arriba el telón!,"Ferro, Beatriz",Norma,Torre de papel - Amarillo,2002,,,
202,2,¡Cruz diablo! : Satanás vuelve al ataque,"Coluccio, Félix (comp.)",Colihue,Los fileteados,2013,,,
189,3,¡Cuidado con el perro!,"Cinetto, Liliana",Santillana,Cuidar y querer,2001,,,
2282,1,¡Entre todos podemos! Salvar nuestro planeta :  un libro con pestañas,"Brownjohn, Emma",Combel,-,1926,,,
2162,1,¡Escondidos!,"Kauffman, Ruth",Cántaro,"Rincón de Lectura. Miro, Leo y Adivino",1926,,,
2843,1,¡Gérmenes! ¡gérmenes! ¡gérmenes!,"Katz, Bobbi",Scholastic,"¡Hola, lector! - CIencias",1926,,,
1078,2,¡Jettatore! : comedia en tres actos,"Laferrere, Gregorio de",Estrada,Azulejos,1926,,,
4350,1,¡Jettatore!...,"Laferrere, Gregorio de",Kapelusz,Grandes Obras de la  Literatura Universal,1926,,,
1716,1,¡Jorge habla!,"King Smith, Dick",SM,El barco de vapor - celeste,1926,,,
